,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bank denies loan/problem with loan,gets in accident/crashes car,car breaks down/needs repairs,gets scammed,other,car is a transformer or alive,"gets something other than new car (bike, motorcycle, uber)",gets money from old car or its parts (from dealer or other offer),wins lottery/gets  money (not from selling car),bank approved loan,gets car other way,"gets a good deal on the new car (less expensive, trade in goo value)",decides to keep old car,car worth more than expected,negative,positive,neither,Word Given in Scenario,Word Not Given,controllable,uncontrollable,neither
3432,0.557995354,5f5b8f7af651ab2e9116fad4,5a9d8c04b5e2110001c6e15f,APPROVED,53:49.6,02:34.2,524.632,30,41:16.4,510FA8B2,United Kingdom,Male,40,"Sep 11, 2020 10:53:51 am","Sep 11, 2020 11:02:32 am",Complete,,,,English,,1599836031_5f5b8f7f12d6a0.96034010,positive,absent,5a9d8c04b5e2110001c6e15f,lucy_loan.response,lucy_loan,response,A bird fell dead from the sky.,,,,,1,,,,,,,,,,1,,,,1,,1,
3417,0.172731463,5f5b8eb61989292e6cb59591,5f443f239d4eda77437dae01,APPROVED,50:34.6,58:46.4,491.832,18,40:48.0,510FA8B2,United Kingdom,Female,24,"Sep 11, 2020 10:50:38 am","Sep 11, 2020 10:58:44 am",Complete,,,,English,,1599835838_5f5b8ebe554796.79006718,positive,absent,5f443f239d4eda77437dae01,lucy_loan.response,lucy_loan,response,Her car is worth more than the dealer thinks and she can buy a new one.,,,,,,,,,,,,,,1,,1,,1,,,1,
3335,0.795605191,5f5bc7be7a4abb35ac0408a9,5ea05b0279591601393f3f6b,APPROVED,54:34.7,11:44.6,1029.938,44,59:37.4,40D80FA4,United Kingdom,Female,58,"Sep 11, 2020 2:54:36 pm","Sep 11, 2020 3:11:42 pm",Complete,,,,English,,1599850476_5f5bc7ec08fde4.84091118,negative,present,5ea05b0279591601393f3f6b,lucy_loan.response,lucy_loan,response,perhaps she decides to keep the car afterall,,,,,,,,,,,,,1,,,,1,1,,1,,
3494,0.665129993,5f5b67317fa75629a135af88,5dce02a5e10220052b35144a,APPROVED,03:19.3,17:58.0,878.659,29,16:52.9,4DE9B385,United Kingdom,Male,49,"Sep 11, 2020 8:03:21 am","Sep 11, 2020 8:17:55 am",Complete,,,,English,,1599825801_5f5b6789b9f2b2.14179403,positive,present,5dce02a5e10220052b35144a,lucy_loan.response,lucy_loan,response,The old car wasn't worth as much as expected and is declined a loan fro the bank.,1,,,,,,,,,,,,,,1,,,1,,,,1
3423,0.694653176,5f5b8f0691f8b62ecdadf06d,58794c1e327dab000199ea58,APPROVED,51:55.0,00:13.2,498.244,63,41:01.2,510FA8B2,United Kingdom,Female,38,"Sep 11, 2020 10:51:57 am","Sep 11, 2020 11:00:07 am",Complete,,,,English,,1599835917_5f5b8f0da6d149.78642274,positive,absent,58794c1e327dab000199ea58,lucy_loan.response,lucy_loan,response,SHE SELLS IT TO A FRIEND FOR A BIT OF MONEY,,,,,,,,1,,,,,,,,1,,,1,1,,
3472,0.95551931,5f5b65e7c81d362906737c73,5e9397d303807b2006e77d5a,APPROVED,56:26.7,02:43.3,376.612,41,16:07.9,4DE9B385,United Kingdom,Female,23,"Sep 11, 2020 7:56:28 am","Sep 11, 2020 8:02:41 am",Complete,,,,English,,1599825388_5f5b65ec122a80.83598406,positive,present,5e9397d303807b2006e77d5a,lucy_loan.response,lucy_loan,response,Her car ended up needing costly repairs,,,1,,,,,,,,,,,,1,,,1,,,,1
3315,0.617370853,5f5bc52ab17ec4365fd1c7d9,5a2ef9bbfd28e9000102ee68,APPROVED,42:55.2,52:33.9,578.731,48,58:57.8,40D80FA4,United Kingdom,Female,30,"Sep 11, 2020 2:42:58 pm","Sep 11, 2020 2:52:30 pm",Complete,,,,English,,1599849778_5f5bc532170806.37862193,negative,present,5a2ef9bbfd28e9000102ee68,lucy_loan.response,lucy_loan,response,Someone offered her more than her old car is worth.,,,,,,,,1,,,,,,,,1,,1,,,1,
3408,0.132844256,5f5b8e25fff4122e2d4f6e89,5f3db7144e27441d7f9f3ec0,APPROVED,51:58.4,28:04.8,2166.458,25,40:29.6,510FA8B2,United Kingdom,Female,33,"Sep 11, 2020 10:52:00 am","Sep 11, 2020 11:28:03 am",Complete,,,,English,,1599835920_5f5b8f104e3832.76294256,positive,absent,5f3db7144e27441d7f9f3ec0,lucy_loan.response,lucy_loan,response,"Lucy gets a call from the bank to say that they cannot approve her loan at this time due to fraudulent activity on her account.   In fact, Lucy isn't who she said she is. Her real name is Charlotte and she's been stealing identities across the country.",1,,,,,,,,,,,,,,1,,,1,,1,,
3327,0.688157094,5f5bc5e0efcdae364f20d29c,5e2586948ab7d17d602025c4,APPROVED,52:42.5,02:07.5,564.982,35,59:21.1,40D80FA4,United Kingdom,Female,57,"Sep 11, 2020 2:52:53 pm","Sep 11, 2020 3:02:03 pm",Complete,,,,English,,1599850373_5f5bc7852ee330.59320731,negative,present,5e2586948ab7d17d602025c4,lucy_loan.response,lucy_loan,response,The dealer doubles his offer for her old car so she accepts,,,,,,,,,,,,,,1,,1,,1,,,,1
3388,0.362208968,5f5cf11c4848f650e9fd2c7b,5f31a239e7ed2f09f2b4a4ef,APPROVED,02:41.9,17:46.5,904.644,27,11:03.4,3833C7F5,United Kingdom,Male,51,"Sep 12, 2020 12:02:44 pm","Sep 12, 2020 12:17:44 pm",Complete,,,,English,,1599926564_5f5cf124834a10.92864564,negative,absent,5f31a239e7ed2f09f2b4a4ef,lucy_loan.response,lucy_loan,response,"she decides to not sell the car and instead, give the car away to her friend who cant afford to buy one right now.",,,,,,,,,,,,,1,,,,1,1,,1,,
3469,0.594735716,5f5b65c17b278528e1ea1c08,5f4524a7cd108b0925b0d08c,APPROVED,55:48.5,30:24.2,2075.72,23,15:45.1,4DE9B385,United Kingdom,Male,20,"Sep 11, 2020 7:55:53 am","Sep 11, 2020 8:30:18 am",Complete,,,,English,,1599825353_5f5b65c993b3b7.99167318,positive,present,5f4524a7cd108b0925b0d08c,lucy_loan.response,lucy_loan,response,"Lucy's car transforms into a large bipedal robot right in the middle of the car park. The robot wore a screwed up look on its metallic face and roared at Lucy. ""How dare you sell me!"" it screeched, running around in a fit of anger, stomping and smashing all the other cars at the dealership.",,,,,,1,,,,,,,,,1,,,1,,,1,
3481,0.940218628,5f5b668710ec482922b63419,5bdc1c289ab26e0001a46b96,APPROVED,59:12.4,05:08.7,356.313,27,16:27.2,4DE9B385,United Kingdom,Female,37,"Sep 11, 2020 7:59:15 am","Sep 11, 2020 8:05:03 am",Complete,,,,English,,1599825555_5f5b6693b96d82.14338109,positive,present,5bdc1c289ab26e0001a46b96,lucy_loan.response,lucy_loan,response,her old car is worth a lot more than expected,,,,,,,,,,,,,,1,,1,,1,,,1,
3287,0.538740472,5f5bc29061200835226b4985,5f47d4ac5db4230d1d4a41b2,APPROVED,31:47.8,45:39.7,831.847,38,58:00.4,40D80FA4,United Kingdom,Male,4,"Sep 11, 2020 2:31:51 pm","Sep 11, 2020 2:45:37 pm",Complete,,,,English,,1599849111_5f5bc2978a4c36.08165653,negative,present,5f47d4ac5db4230d1d4a41b2,lucy_loan.response,lucy_loan,response,She has an accident and the car is scraped.,,1,,,,,,,,,,,,,1,,,1,,,,1
3289,0.784448167,5f5bc2c38ae8ac360d421d82,5ac888369534ba0001c763e1,APPROVED,32:42.9,42:33.9,590.935,49,58:04.5,40D80FA4,United Kingdom,Female,6,"Sep 11, 2020 2:32:45 pm","Sep 11, 2020 2:42:27 pm",Complete,,,,English,,1599849165_5f5bc2cd6931e3.59135886,negative,present,5ac888369534ba0001c763e1,lucy_loan.response,lucy_loan,response,She decides to keep the car,,,,,,,,,,,,,1,,,,1,1,,1,,
3488,0.877865346,5f5b66cc71abb22933c14c6c,5f53cfde4e91947067d2435a,APPROVED,06:50.0,33:28.0,1597.946,35,16:42.2,4DE9B385,United States,Female,55,"Sep 11, 2020 8:23:00 am","Sep 11, 2020 8:33:14 am",Complete,,,,English,,1599826980_5f5b6c24bf2668.23078806,positive,present,5f53cfde4e91947067d2435a,lucy_loan.response,lucy_loan,response,Perhaps Lucy got an accident with the old car,,1,,,,,,,,,,,,,1,,,1,,,,1
3390,0.298914041,5f5d2b5c47755956e9649433,5dbd96bc80dbee2c71a8c9d6,APPROVED,11:08.7,23:19.4,730.744,23,26:22.6,3833C7F5,United Kingdom,Female,58,"Sep 12, 2020 4:11:10 pm","Sep 12, 2020 4:23:17 pm",Complete,,,,English,,1599941470_5f5d2b5e404ad8.56874843,negative,absent,5dbd96bc80dbee2c71a8c9d6,lucy_loan.response,lucy_loan,response,She decides to actually keep her old car because she is attached to it ,,,,,,,,,,,,,1,,,1,,1,,1,,
3295,0.262446379,5f5bc37146d14235cf6b0999,5f49396f5324cf32b7bee64b,APPROVED,35:44.5,52:37.9,1013.319,27,58:16.9,40D80FA4,Ireland,Male,12,"Sep 11, 2020 2:35:47 pm","Sep 11, 2020 2:52:35 pm",Complete,,,,English,,1599849347_5f5bc383092900.60818315,negative,present,5f49396f5324cf32b7bee64b,lucy_loan.response,lucy_loan,response,"Turns out, the car is a Transformer. However, unlike Shia LaBoeuf's car, this is a Decepticon...",,,,,,1,,,,,,,,,1,,,1,,,1,
3307,0.329063752,5f5bc4961a328c352fe86601,5d9db80fad89d50017a880e6,APPROVED,40:25.9,50:45.7,619.85,40,58:40.3,40D80FA4,United Kingdom,Male,27,"Sep 11, 2020 2:40:27 pm","Sep 11, 2020 2:50:42 pm",Complete,,,,English,,1599849627_5f5bc49b7c3b87.32227681,negative,present,5d9db80fad89d50017a880e6,lucy_loan.response,lucy_loan,response,the old car spontaneously combusts,,,,,1,,,,,,,,,,1,,,1,,,1,
3391,0.574919782,5f5d2b5d52e4275680669a25,5f483cffdd72112f1e5ef612,APPROVED,11:30.3,30:08.2,1117.876,24,37:28.7,3833C7F5,United States,Female,59,"Sep 12, 2020 4:11:31 pm","Sep 12, 2020 4:30:05 pm",Complete,,,,English,,1599941491_5f5d2b73b86f70.59000072,negative,absent,5f483cffdd72112f1e5ef612,lucy_loan.response,lucy_loan,response,"When the dealership says Lucy's car has no value, a kind old couple overhear and offer her their old car which they are about to trade in. Lucy can keep her car that holds sentimental value to her.",,,,,,,,,,,1,,,,,1,,1,,,1,
3444,0.438174775,5f5b9f0ba38ae60f13481536,5f2a817d88f11d29b7f0c74f,APPROVED,00:11.2,26:37.6,1586.424,30,41:40.5,510FA8B2,United Kingdom,Male,58,"Sep 11, 2020 12:00:19 pm","Sep 11, 2020 12:26:36 pm",Complete,,,,English,,1599840019_5f5b9f13308255.67969847,positive,absent,5f2a817d88f11d29b7f0c74f,lucy_loan.response,lucy_loan,response,The dealer changes his opinion and wants to buy the car,,,,,,,,1,,,,,,,,1,,1,,,1,
3362,0.836647955,5f5cefc826f9005062dfef45,5b0fe699e9270900013c0882,APPROVED,57:01.3,11:28.4,867.163,37,10:08.6,3833C7F5,United Kingdom,Female,29,"Sep 12, 2020 11:57:04 am","Sep 12, 2020 12:11:26 pm",Complete,,,,English,,1599926223_5f5cefcfed1770.29529231,negative,absent,5b0fe699e9270900013c0882,lucy_loan.response,lucy_loan,response,"her phone rings and its the radio station she had entered a compettion on, she wins a new car",,,,,,,,,,,1,,,,,1,,1,,,,1
3337,0.328680228,5f5cd6cc1621624d60e2b148,5f3af4493a55e01ebf3311d1,APPROVED,12:19.3,29:58.9,1059.606,22,46:04.7,40D80FA4,United Kingdom,Female,61,"Sep 12, 2020 10:12:22 am","Sep 12, 2020 10:29:56 am",Complete,,,,English,,1599919942_5f5cd7463b3710.25216703,negative,present,5f3af4493a55e01ebf3311d1,lucy_loan.response,lucy_loan,response,she uses the bank loan to do up her 'classic car' to get it back to its original condition,,,,,,,,,,,,,1,,,1,,1,,1,,
3404,0.790091969,5f5b8dff46102f2dad99bafe,5d45e3bdf1d31800163cf999,APPROVED,47:30.2,11:12.3,1422.142,20,40:22.1,510FA8B2,United Kingdom,Female,10,"Sep 11, 2020 10:47:31 am","Sep 11, 2020 11:11:09 am",Complete,,,,English,,1599835651_5f5b8e03935e51.18482482,positive,absent,5d45e3bdf1d31800163cf999,lucy_loan.response,lucy_loan,response,Someone contacts her wanting to pay a lot for the old car,,,,,,,,,,,,,,1,,1,,1,,,1,
3465,0.674341802,5f5b6592a9ba1128f6ed6f31,595f5d26b752840001ca4451,APPROVED,55:01.5,13:03.3,1081.786,37,15:36.3,4DE9B385,United Kingdom,Female,19,"Sep 11, 2020 7:55:08 am","Sep 11, 2020 8:12:59 am",Complete,,,,English,,1599825308_5f5b659c3df447.52149375,positive,present,595f5d26b752840001ca4451,lucy_loan.response,lucy_loan,response,the car is worth more than she thought,,,,,,,,,,,,,,1,,1,,1,,,1,
3416,0.509406548,5f5b8eb116b98d0cd6fb656a,5ce98960b8a8130019d684dd,APPROVED,50:28.7,05:01.7,872.932,26,40:45.9,510FA8B2,United Kingdom,Female,22,"Sep 11, 2020 10:50:31 am","Sep 11, 2020 11:04:58 am",Complete,,,,English,,1599835830_5f5b8eb6e86741.51859962,positive,absent,5ce98960b8a8130019d684dd,lucy_loan.response,lucy_loan,response,Lucy finds a large sum of money in the glovebox of her old car.,,,,,,,,,1,,,,,,,1,,1,,,,1
3344,0.358781809,5f5cee3f6352f050221be08d,5df2f7674f849e20d6666704,APPROVED,50:29.6,58:41.1,491.517,67,09:32.4,3833C7F5,United Kingdom,Male,8,"Sep 12, 2020 11:50:31 am","Sep 12, 2020 11:58:38 am",Complete,,,,English,,1599925831_5f5cee47d96f13.15016303,negative,absent,5df2f7674f849e20d6666704,lucy_loan.response,lucy_loan,response,She wins the lottery.,,,,,,,,,1,,,,,,,1,,,1,,1,
3384,0.711826157,5f5cf0dd477f96507297cf9b,5cfa1a744ccbd50001535ef2,APPROVED,01:33.3,24:34.8,1381.499,50,10:55.3,3833C7F5,United Kingdom,Female,55,"Sep 12, 2020 12:04:47 pm","Sep 12, 2020 12:24:31 pm",Complete,,,,English,,1599926687_5f5cf19fd80356.34987923,negative,absent,5cfa1a744ccbd50001535ef2,lucy_loan.response,lucy_loan,response,"Lucy didn't care that the car dealers car is a wreck, she's happy that the bank have loaned her the money to get a brand new car.",,,,,,,,,,1,,,,,,1,,1,,,1,
3479,0.030360217,5f5b66634775592894e7de0b,5f0ddc22e8572609f83725d4,APPROVED,58:30.5,07:32.3,541.746,32,16:23.6,4DE9B385,United Kingdom,Male,31,"Sep 11, 2020 7:58:32 am","Sep 11, 2020 8:07:29 am",Complete,,,,English,,1599825512_5f5b6668535ab1.98711552,positive,present,5f0ddc22e8572609f83725d4,lucy_loan.response,lucy_loan,response,"she returns home to check the price online and finds it's worth tens of thousands, enough to put a deposit on a house.",,,,,,,,,,,,,,1,,1,,,1,1,,
3409,0.582180458,5f5b8e273b10e42dd267df3f,579ccf9ebaec1b0001698960,APPROVED,48:07.5,03:52.0,944.555,39,40:31.7,510FA8B2,United Kingdom,Female,16,"Sep 11, 2020 10:48:10 am","Sep 11, 2020 11:03:44 am",Complete,,,,English,,1599835690_5f5b8e2a282ba3.19552726,positive,absent,579ccf9ebaec1b0001698960,lucy_loan.response,lucy_loan,response,Lucy finds a bag of £50 notes in the boot of the new car.,,,,,,,,,1,,,,,,,1,,1,,,,1
3292,0.78340743,5f5bc310f7a8c7368446ae73,56d1f9597bbc32000589a58d,APPROVED,33:56.7,41:37.7,461.036,57,58:10.8,40D80FA4,United Kingdom,Female,8,"Sep 11, 2020 2:33:58 pm","Sep 11, 2020 2:41:36 pm",Complete,,,,English,,1599849238_5f5bc316ca4fc5.78672144,negative,present,56d1f9597bbc32000589a58d,lucy_loan.response,lucy_loan,response,she gets offered a large sum of money for it,,,,,,,,,,,,,,1,,1,,,1,,1,
3499,0.765287895,5f5b68a733291029a8dc7569,5e1335206aab7c96df461666,APPROVED,11:41.8,28:20.5,998.692,22,16:58.5,4DE9B385,Ireland,Male,53,"Sep 11, 2020 8:11:46 am","Sep 11, 2020 8:28:06 am",Complete,,,,English,,1599826306_5f5b6982117126.57224315,positive,present,5e1335206aab7c96df461666,lucy_loan.response,lucy_loan,response,"Her car is worth over 200,000 euros",,,,,,,,,,,,,,1,,1,,1,,,1,
3367,0.32903596,5f5cf00447755950260d0cd2,5cc5aacff6ef910019e51ecd,APPROVED,59:07.5,09:59.0,651.502,43,10:19.5,3833C7F5,United Kingdom,Female,38,"Sep 12, 2020 11:59:09 am","Sep 12, 2020 12:09:57 pm",Complete,,,,English,,1599926349_5f5cf04d932af6.04798755,negative,absent,5cc5aacff6ef910019e51ecd,lucy_loan.response,lucy_loan,response,even though she misses her old car her new car is reliable and she loves it,,,,,1,,,,,,,,,,,1,,1,,1,,
3441,0.232690824,5f5b8fea52a9212f2bacaf56,5dfba3e169a1178d07a55d65,APPROVED,56:09.4,06:44.6,635.263,20,41:34.6,510FA8B2,United Kingdom,Female,51,"Sep 11, 2020 10:56:11 am","Sep 11, 2020 11:06:43 am",Complete,,,,English,,1599836171_5f5b900b10f460.12991873,positive,absent,5dfba3e169a1178d07a55d65,lucy_loan.response,lucy_loan,response,she found a new car for cheaper,,,,,,,,,,,,1,,,,1,,1,,1,,
3305,0.027442303,5f5bc47ea4d19c367b0d351d,5e9ddd3544570614a6def456,APPROVED,40:02.2,07:00.4,1618.198,35,58:36.3,40D80FA4,United States,Female,23,"Sep 11, 2020 2:40:04 pm","Sep 11, 2020 3:06:56 pm",Complete,,,,English,,1599849604_5f5bc484d95a53.76824651,negative,present,5e9ddd3544570614a6def456,lucy_loan.response,lucy_loan,response,The car is found to need expensive repairs.,,,1,,,,,,,,,,,,1,,,1,,,,1
3457,0.829380348,5f5b653adef27f28b95b1e3f,5dc416f7f7bfb12dbfd7c1e6,APPROVED,55:23.7,08:03.3,759.64,43,15:19.2,4DE9B385,United Kingdom,Male,16,"Sep 11, 2020 7:55:26 am","Sep 11, 2020 8:08:00 am",Complete,,,,English,,1599825325_5f5b65adf2a8e7.47956158,positive,present,5dc416f7f7bfb12dbfd7c1e6,lucy_loan.response,lucy_loan,response,She didn't need a loan in the end because the money from the classic car covered it.,,,,,,,,,,,1,,,,,1,,1,,,1,
3387,0.958126349,5f5cf1077790915056f42194,58c565298a3f870001c0e70d,APPROVED,04:51.6,24:20.1,1168.481,31,11:01.2,3833C7F5,United Kingdom,Male,56,"Sep 12, 2020 12:04:57 pm","Sep 12, 2020 12:24:12 pm",Complete,,,,English,,1599926697_5f5cf1a94be453.92436914,negative,absent,58c565298a3f870001c0e70d,lucy_loan.response,lucy_loan,response,She decides not to get a new car.,,,,,,,,,,,,,1,,,,1,1,,1,,
3368,0.079133151,5f5cf01cce878751741a9ab0,5ce50e4054e33d0001189577,APPROVED,58:24.5,09:54.7,690.19,28,10:21.3,3833C7F5,United Kingdom,Female,31,"Sep 12, 2020 11:58:26 am","Sep 12, 2020 12:09:52 pm",Complete,,,,English,,1599926306_5f5cf02240c875.53987029,negative,absent,5ce50e4054e33d0001189577,lucy_loan.response,lucy_loan,response,She lists it again privately and someone buys it and promises to treasure it.,,,,,,,,1,,,,,,,,1,,,1,1,,
3478,0.436030733,5f5b6647062e0f28c2f3d8cc,5eaeaff5553e990009a3d8c0,APPROVED,01:08.0,08:38.7,450.696,65,16:21.5,4DE9B385,United Kingdom,Female,42,"Sep 11, 2020 8:01:10 am","Sep 11, 2020 8:08:37 am",Complete,,,,English,,1599825670_5f5b67062270f9.44284068,positive,present,5eaeaff5553e990009a3d8c0,lucy_loan.response,lucy_loan,response,"She mentions it to a friend, who offers a higher price than the dealer does.",,,,,,,,1,,,,,,,,1,,1,,1,,
3476,0.143454197,5f5b662c3e753428c032a68c,56cefc4cb009e1000aa73684,APPROVED,57:37.6,04:26.2,408.616,29,16:16.7,4DE9B385,United Kingdom,Female,28,"Sep 11, 2020 7:57:39 am","Sep 11, 2020 8:04:24 am",Complete,,,,English,,1599825459_5f5b663353bfb2.23706993,positive,present,56cefc4cb009e1000aa73684,lucy_loan.response,lucy_loan,response,The bank decided to still over Lucy a loan.,,,,,,,,,,1,,,,,,1,,1,,,,1
3407,0.179380682,5f5b8e246943f02d822badcb,5e6590b83b1ae1317a3230a9,APPROVED,48:18.5,02:10.2,831.655,19,40:27.6,510FA8B2,United Kingdom,Female,17,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:02:07 am",Complete,,,,English,,1599835700_5f5b8e34af5893.34485354,positive,absent,5e6590b83b1ae1317a3230a9,lucy_loan.response,lucy_loan,response,"she buys a second hand car, and while cleaning it she finds a lottery ticket in one of the pockets which wins her 10 thousand pounds.",,,,,,,,,1,,,,,,,1,,1,,,,1
3477,0.805080875,5f5b6641dae8082944b5ad71,5cbe0f575c7161000191fe80,APPROVED,57:58.0,19:14.8,1276.815,25,16:19.2,4DE9B385,United Kingdom,Female,29,"Sep 11, 2020 7:57:59 am","Sep 11, 2020 8:19:11 am",Complete,,,,English,,1599825479_5f5b6647a18d35.84513576,positive,present,5cbe0f575c7161000191fe80,lucy_loan.response,lucy_loan,response,The car turns out to be worth more than expected and Lucy becomes a millionaire - something to do with the car having been in a Bond movie.,,,,,,,,,,,,,,1,,1,,1,,,1,
3402,0.200881348,5f5b8de5f7e8a70cc8472b64,5edf196f0ad20d1c592b6f29,APPROVED,47:01.5,57:37.9,636.406,46,40:18.3,510FA8B2,United Kingdom,Male,12,"Sep 11, 2020 10:47:04 am","Sep 11, 2020 10:57:36 am",Complete,,,,English,,1599835624_5f5b8de8b80132.51811587,positive,absent,5edf196f0ad20d1c592b6f29,lucy_loan.response,lucy_loan,response,The car dealer gives her a car,,,,,,,,,,,1,,,,,1,,1,,,1,
3414,0.987648892,5f5b8e950adc392e8f66d9c0,5ed66ce4f02f1209fc2bc33a,APPROVED,50:20.0,03:48.3,808.278,19,40:42.0,510FA8B2,United Kingdom,Female,31,"Sep 11, 2020 10:50:22 am","Sep 11, 2020 11:03:43 am",Complete,,,,English,,1599835821_5f5b8eadebb527.69080081,positive,absent,5ed66ce4f02f1209fc2bc33a,lucy_loan.response,lucy_loan,response,"Lucy manages to find someone interested in buying the car, despite it being a wreck.",,,,,,,,1,,,,,,,,1,,1,,1,,
3288,0.864434818,5f5bc29dc81d3636092e13bd,5f0098df68eebf076ed649a4,APPROVED,31:59.6,39:04.7,425.049,44,58:02.4,40D80FA4,United Kingdom,Male,5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,,,,English,,1599849121_5f5bc2a1c61665.48567357,negative,present,5f0098df68eebf076ed649a4,lucy_loan.response,lucy_loan,response,She crashed the car ,,1,,,,,,,,,,,,,1,,,1,,1,,
3482,0.018452541,5f5b668b9a3ef6296c8ee682,5eca601af9ac0e5879c8e2c6,APPROVED,59:18.0,03:18.1,240.098,20,16:29.5,4DE9B385,United Kingdom,Male,32,"Sep 11, 2020 7:59:19 am","Sep 11, 2020 8:03:16 am",Complete,,,,English,,1599825559_5f5b6697208100.99179651,positive,present,5eca601af9ac0e5879c8e2c6,lucy_loan.response,lucy_loan,response,She wants to keep it for souvenir purposes,,,,,,,,,,,,,1,,,1,,,1,1,,
3373,0.943857254,5f5cf050fff4124ff943d364,5e5e7e81381c27000b1e9cba,APPROVED,59:18.2,06:39.6,441.39,32,10:32.7,3833C7F5,United Kingdom,Female,37,"Sep 12, 2020 11:59:22 am","Sep 12, 2020 12:06:36 pm",Complete,,,,English,,1599926361_5f5cf059e20770.28168041,negative,absent,5e5e7e81381c27000b1e9cba,lucy_loan.response,lucy_loan,response,Her old car is worth nothing. ,,,,,1,,,,,,,,,,1,,,1,,,1,
3364,0.062312319,5f5cefdcef8a090b2813f91a,5cd01e707e84a20017fddc02,APPROVED,03:10.2,15:23.3,733.094,63,10:13.2,3833C7F5,United Kingdom,Female,54,"Sep 12, 2020 12:03:13 pm","Sep 12, 2020 12:15:21 pm",Complete,,,,English,,1599926593_5f5cf1413935b8.57220886,negative,absent,5cd01e707e84a20017fddc02,lucy_loan.response,lucy_loan,response,She goes to another dealer who realises that her old car is a classic and gives her enough money to buy a new one.,,,,,,,,1,,,,,,,,1,,1,,,,1
3427,0.720215613,5f5b8f1d58c9fb2e9bc13658,5f00927aa282921b44625ab8,APPROVED,52:16.6,09:18.8,1022.262,20,41:09.1,510FA8B2,United Kingdom,Female,48,"Sep 11, 2020 10:52:18 am","Sep 11, 2020 11:09:15 am",Complete,,,,English,,1599835938_5f5b8f223721a0.22468767,positive,absent,5f00927aa282921b44625ab8,lucy_loan.response,lucy_loan,response,she wins the lottery and buys a tesla,,,,,,,,,1,,,,,,,1,,,1,1,,
3299,0.835613521,5f5bc38e91f8b63584ef4d6c,5ef245fe2d8f67143808d5fc,APPROVED,36:03.3,44:40.0,516.646,23,58:24.8,40D80FA4,United Kingdom,Female,14,"Sep 11, 2020 2:36:04 pm","Sep 11, 2020 2:44:37 pm",Complete,,,,English,,1599849364_5f5bc3947cde53.65036387,negative,present,5ef245fe2d8f67143808d5fc,lucy_loan.response,lucy_loan,response,Her car is damaged and stops working ,,,1,,,,,,,,,,,,1,,,1,,,,1
3369,0.690083031,5f5cf025fcfd084fb53cd4bd,5b0d9494e9270900013bd5a5,APPROVED,58:32.6,14:03.4,930.82,31,10:23.6,3833C7F5,United Kingdom,Female,36,"Sep 12, 2020 11:58:34 am","Sep 12, 2020 12:14:01 pm",Complete,,,,English,,1599926314_5f5cf02a787718.17846832,negative,absent,5b0d9494e9270900013bd5a5,lucy_loan.response,lucy_loan,response,Lucy realises that she needs to get her priorities right. How can she hate something and feel sentimental towards it at the same time? Lucy gets an uber instead.,,,,,1,,,,,,,,,,,,1,,1,1,,
3428,0.2335995,5f5b8f238f94512e048f0635,5f29cd7e87f62615d79a7df3,APPROVED,52:20.9,06:02.5,821.581,19,41:11.2,510FA8B2,United Kingdom,Male,34,"Sep 11, 2020 10:52:22 am","Sep 11, 2020 11:06:00 am",Complete,,,,English,,1599835942_5f5b8f268d0b42.31561502,positive,absent,5f29cd7e87f62615d79a7df3,lucy_loan.response,lucy_loan,response,Her loan application is denied and now she cant get a new car,1,,,,,,,,,,,,,,1,,,1,,,,1
3341,0.926234435,5f5ced8d674b950b3eb6b28d,5e08b611361a851bde3ce928,APPROVED,48:47.1,21:47.9,1980.839,34,09:26.4,3833C7F5,United Kingdom,Female,6,"Sep 12, 2020 11:48:49 am","Sep 12, 2020 12:21:42 pm",Complete,,,,English,,1599925729_5f5cede15a5252.01531996,negative,absent,5e08b611361a851bde3ce928,lucy_loan.response,lucy_loan,response,"The car dealer, feeling sorry for Lucy, looks around  and turns to her and quietly whispers that he has this old mate of his who has a couple of cheap but decent cars to sell, and would Lucy be interested.",,,,,,,,,,,1,,,,,1,,1,,,1,
3385,0.769878321,5f5cf0f035193650c9abf9ab,5efa601eae7659158ead1753,APPROVED,01:58.0,11:48.2,590.204,32,10:57.3,3833C7F5,United Kingdom,Female,50,"Sep 12, 2020 12:02:02 pm","Sep 12, 2020 12:11:42 pm",Complete,,,,English,,1599926522_5f5cf0fa54efc4.33683768,negative,absent,5efa601eae7659158ead1753,lucy_loan.response,lucy_loan,response,the bank refused a loan,1,,,,,,,,,,,,,,1,,,1,,,,1
3420,0.355007285,5f5b8eca6c83442de4a1f96f,5e5e882ba3b41303aee46e90,APPROVED,50:56.0,25:33.1,2077.147,24,40:55.1,510FA8B2,United Kingdom,Female,30,"Sep 11, 2020 10:51:00 am","Sep 11, 2020 11:25:28 am",Complete,,,,English,,1599835860_5f5b8ed430fc99.96928355,positive,absent,5e5e882ba3b41303aee46e90,lucy_loan.response,lucy_loan,response,The bank rejects her application for a loan for a car. ,1,,,,,,,,,,,,,,1,,,1,,,,1
