,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.response,Sentiment - blue_team.response,bill_holiday.response,Sentiment - bill_holiday.response,john_party.response,Sentiment - john_party.response,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
50,5f5bc5ccec0fc214cd296194,5c23615d70d93a0001202ea2,APPROVED,45:41.7,27:23.1,2501.369,28,59:19.1,40D80FA4,United Kingdom,Male,43,"Sep 11, 2020 2:45:50 pm","Sep 11, 2020 3:27:20 pm",Complete,,,,English,,1599849950_5f5bc5dea7b758.96344426,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36 Edg/85.0.564.41",,negative,present,5c23615d70d93a0001202ea2,0,they arent home ,0,the red team come out in the second half and score 5 goals and win the game ,0.5859,the luggage bill received was not his luggage but someone else's luggage ,0,john's wife takes over cooking the food and john ends up doing the cleaning up ,0,when she went out to swim a storm approached and everyone had to leave the beach ,-0.0516,"after she has her arguement sally is shaken up and drops the bottle on the floor , she decides to go buy a new one and the shop is closed ",-0.0772,"but as time goes on no one shows up , the taxi driver had driven her to the wrong place ",-0.7876,she keeps the car but still buys the new one ,0,michael then remembers that the tea always got him through the studying and helped him pass,0,his mother picks up the phone but the phone dies as he has no battery left ,-0.4215,No,
52,5f5bc5e0efcdae364f20d29c,5e2586948ab7d17d602025c4,APPROVED,52:42.5,02:07.5,564.982,35,59:21.1,40D80FA4,United Kingdom,Female,57,"Sep 11, 2020 2:52:53 pm","Sep 11, 2020 3:02:03 pm",Complete,,,,English,,1599850373_5f5bc7852ee330.59320731,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51",,negative,present,5e2586948ab7d17d602025c4,0,Her mum and dad are out. ,0,Their best player goes off injured and the red team score 4 goals. ,0.3612,He wins another holiday in a competition on the plane on the way back. ,0.7506,She leaves and tells him to cook the rest of the dinner alone,-0.25,They see someone in distress in the water and go to help them,-0.1779,The neighbour apologises and buys the wine for Sarah,0.2023,She asks the taxi driver to to go round the block one more. ,-0.4404,The dealer doubles his offer for her old car so she accepts,0.3774,He accidently knocks the tea pot off the side and it breaks. ,0,As he is deciding whether to ring or not she calls him. ,0,No,
53,5f5bc5ebe2534b35c9a08b22,5f4a5983a08b215d74d2cd99,APPROVED,46:03.6,00:05.3,841.706,25,59:23.1,40D80FA4,United Kingdom,Male,47,"Sep 11, 2020 2:46:32 pm","Sep 11, 2020 3:00:01 pm",Complete,,,,English,,1599849992_5f5bc60832ff99.36860588,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,present,5f4a5983a08b215d74d2cd99,0,Someone else answered the door,0,"All the red team caught a stomach bug and had to forfeit, but it was an empty victory.",-0.296,"He returns home to find out he has been fired for not actually booking a holiday, he just left without saying anything.",-0.7057,"John agrees with her, and apologises. Asking his wife to show him how to correctly peel potatoes. Normally he would have thrown a potatoe at her head.",0.127266667,"Lighting strikes the lifeguard tower, and Rebecca then goes for swim, thankful that the bossy lifeguard was electrocuted.",0.296,"She drinks the whole bottle of wine after her stressful argument with her neighbour, and has to go and buy more. ",-0.7003,The Taxi driver then takes her on a free tour throughout L.A until she is due.,0.5106,"While pondering the sentimental value of her car, she fails to see the oncoming traffic and totals her 'classic' car. Lucy realises that hindsight is a wonderful thing.",0.3991,"Inside the bag on tea bags is a golden ticket, and Michael gets to go to Philly Tonkers Tea factory. It was very boring. ",-0.1902,"The sun from his exotic holiday caused Sean's phone to turn off, to avoid overheating.",0.128,No,
54,5f5bc5ec46d1423622c5a7e3,5f398011c2525250d09b340a,APPROVED,47:19.3,05:44.8,1105.528,29,59:25.0,40D80FA4,United Kingdom,Male,54,"Sep 11, 2020 2:47:21 pm","Sep 11, 2020 3:05:40 pm",Complete,,,,English,,1599850041_5f5bc639a78949.03237091,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,present,5f398011c2525250d09b340a,0,Nobody answered the door.,0,"The red team staged a remarkable comeback in the second half, scoring 5 goals and winning 5-4 against the blue team.",0.7906,"Bill gets offered an extra weeks holiday in compensation for his luggage delay, and he enjoys his extra holiday",0.7506,"Rather than arguing as he usually would, he apologizes to his wife and takes care with the rest, and his wife thanks him",0.6808,"It suddenly starts to rain heavily with strong winds, and Rebecca chooses not to swim any more.",0.5106,Sally was so distracted by the argument that she dropped her bag and the wine bottle smashed.,-0.6825,Belinda was actually mistaken about the time of the meeting and had in fact arrived just in time.,-0.3612,"Lucy changes her mind about her car and now likes it, so decides against buying a new one",0.4215,He gets an email from work saying he's got a promotion.,0,He wasn't able to connect the call because he doesn't know the international calling code for his home country.,0,No,
55,5f5bc5f1def27f3626252a35,5c924468a5c1db00144f7fcb,APPROVED,46:11.4,56:52.5,641.037,35,59:27.6,40D80FA4,United Kingdom,Male,46,"Sep 11, 2020 2:46:12 pm","Sep 11, 2020 2:56:50 pm",Complete,,,,English,,1599849972_5f5bc5f4c5dc16.59408085,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5c924468a5c1db00144f7fcb,0,They was not in,0,The match got called off due to bad weather,-0.5423,he died,-0.5574,his wife kills him,-0.5423,she drowned,-0.5994,she got beat up by her neighbour,0,the plane crashes,0,the car dealer changed his mind,0,he choked on his breakfast,-0.4767,she was ill,-0.4215,No,
56,5f5bc5f92be30c35fe4f07e1,5d88dec3439d210016835821,APPROVED,46:24.0,54:38.5,494.505,19,59:29.6,40D80FA4,United Kingdom,Male,52,"Sep 11, 2020 2:46:25 pm","Sep 11, 2020 2:54:35 pm",Complete,,,,English,,1599849985_5f5bc6019efdc8.22763330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36 Edg/85.0.564.44",,negative,present,5d88dec3439d210016835821,0,Perhaps they weren't in,0,The red team make an unexpected recovery,0,Something nice happens upon his return,0.4215,Those coming for the dinner party compliment the potatoes ,0.7003,She is dragged under the water by a strong wave,0.4767,The neighbour apologises with an extra bottle of wine,0.2023,Those she was intending to meet happen to also be early,0,A newer model of her previous car happens to be in the dealership,0,One of his university friends contacts him later that day,0.4767,She calls him,0,No,
57,5f5bc5fa71abb236faeb0338,5d53bdc9b18d590018dac171,APPROVED,46:22.4,54:04.9,462.487,58,59:31.6,40D80FA4,United Kingdom,Female,51,"Sep 11, 2020 2:46:24 pm","Sep 11, 2020 2:54:01 pm",Complete,,,,English,,1599849984_5f5bc60081d150.89902793,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",,negative,present,5d53bdc9b18d590018dac171,0,"There is no one there, the bands are drawn.",-0.296,The Red team change tactics and in a ten minutes level up.,0,He receives someone else's clothes in his luggage.,0,The dog takes over the potato peeling.,0,A boat with refugees aboard comes into view.,0.0258,A moped drives right up to her and the driver takes her bottle of wine.,0,She watches a gang of armed robbers enter the bank next door.,0,She changes her mind.,0,Someone who he didn't like from his university days telephones him. ,-0.2755,Someone else answers the phone at his mothers house - his mother lives alone. ,-0.25,No,
58,5f5bc600d1be8b14f3b8ec71,5d55a0f63af827001981b8d6,APPROVED,46:32.7,54:34.4,481.777,53,59:33.6,40D80FA4,United Kingdom,Female,49,"Sep 11, 2020 2:46:34 pm","Sep 11, 2020 2:54:29 pm",Complete,,,,English,,1599849994_5f5bc60ab06406.35080168,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,5d55a0f63af827001981b8d6,0,There was no answer,-0.296,One of the players does a foul,0,He comes home and decides to complain about his luggage being delayed ,-0.5267,They have a huge argument and cancel the dinner party,0.128,There is a huge wave and she decides not to go in the sea.,0.3182,She has a fight and has to go to hospital,-0.3818,She decides to go for a drink and gets too drunk,-0.34,She wins some money so doesn't have to sell the car.,0.5719,The electricity is off,0,He speaks to his mother and she is happy to hear his voice.,0.5719,No,
59,5f5bc606d9799436b0249349,5bd7b4053dac81000124b592,APPROVED,50:01.2,16:45.5,1604.296,37,59:35.6,40D80FA4,Ireland,Female,56,"Sep 11, 2020 2:50:04 pm","Sep 11, 2020 3:16:41 pm",Complete,,,,English,,1599850204_5f5bc6dccc0a91.73138587,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,present,5bd7b4053dac81000124b592,0,Maybe the door is not locked and opens,0,The Red team start playing better and start to close the gap in the score. ,0.5719,"After his luggage being delayed, he discovers his passport is no longer in his suitcase and has either been lost, or stolen. ",-0.8225,"His wife is feeling stressed and takes it out on him by having a go at him, despite him doing nothing wrong, and wants to cancel the dinner party. ",0.33,"As she is swimming, the weather takes a turn for the worse and she gets into difficulty whilst swimming. ",-0.6705,"Due to having an argument with her neigbour, she is late for the shop and it closes. ",-0.3612,"It is too early for her to go into the meeting and she has to wait outside, and it starts to rain and she gets soaked. ",0,"It turns out it is not actually her car to sell. It is perhaps her parents, and she does not apreciate that it is an okd classic car. ",0,His electric cuts out and he cannot brew the tea. ,-0.296,His battery dies,0,No,
60,5f5bc7be7a4abb35ac0408a9,5ea05b0279591601393f3f6b,APPROVED,54:34.7,11:44.6,1029.938,44,59:37.4,40D80FA4,United Kingdom,Female,58,"Sep 11, 2020 2:54:36 pm","Sep 11, 2020 3:11:42 pm",Complete,,,,English,,1599850476_5f5bc7ec08fde4.84091118,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,5ea05b0279591601393f3f6b,0,perhaps they have also gone out on the day in question. perhaps they decided to visit her and have crossed paths on their respective journeys ,0.21075,perhaps the red team score 5 goals after half time and win the match,0.5859,bill starts to feel unwell after eating something on holiday and has to be admitted to hospital,0.4767,the dinner party guest cancel at the last minute,0.1779,she gets dragged by the current into an area where she is trapped,-0.5574,the argument leads to the wine bottle being dropped and smashed on the floor,-0.3612,her watch has run out of battery and she is late ,0,perhaps she decides to keep the car afterall,0,he drops the teapot,0,the phone runs out of battery,0,No,
61,5f5bd0baada163373988df15,5de0803843e90d0fcc462b13,APPROVED,32:15.9,42:58.3,642.352,27,59:39.3,40D80FA4,United Kingdom,Male,59,"Sep 11, 2020 3:32:17 pm","Sep 11, 2020 3:42:56 pm",Complete,,,,English,,1599852737_5f5bd0c19274f1.34385559,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5de0803843e90d0fcc462b13,0,Her parents answered the door completely naked.,0,They lose 4-5,-0.4019,"He realises he's a workaholic and doesn't know how to relax. Then he wonders, ""Is this really the life I want to lead?"" An existential crisis he wasn't prepared for.",-0.037566667,"He cuts himself with the peeler, sucks on the wound and gains a thirst for blood.",-0.3182,Poseidon appears and we learn that Greek mythology is far better than Roman.,0.4404,"She absolutely lamps her neighbour over the head, gets arrested and ends up in prison.",-0.7506,"She meets Zlatan Ibrahimovic who has just scored a hat trick for the Galaxy, he takes her away, they fall in love and live happily ever after. ",0.8225,She gets hit by a motorbike and dies.,0,He comes to the sudden realisation that he's still studying at University and the last three years have been a dream.,0.25,There's a glitch in the matrix and he'd already called his mother but can't remember it. His mother reminds him and his anxiousness soon turns to surprise and confusion.,-0.1366,No,
63,5f5cd6cc1621624d60e2b148,5f3af4493a55e01ebf3311d1,APPROVED,12:19.3,29:58.9,1059.606,22,46:04.7,40D80FA4,United Kingdom,Female,61,"Sep 12, 2020 10:12:22 am","Sep 12, 2020 10:29:56 am",Complete,,,,English,,1599919942_5f5cd7463b3710.25216703,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5f3af4493a55e01ebf3311d1,0,her parents didn't answer the front door,0,the red team won in the second hal,0.5719,he returns from his holidays to find he has won the lottery,0.743,the potatoes that John ruined were essential to the dish and now he wife is angry and has cancelled the dinner party,-0.6908,"a tsuinami hits the beach that rebecca is at, in a case that area of the world where tsuinamis have never occured before, and rebecca gets lost to the ocean",-0.3182,her neighbour assaults sarah in the street,-0.5423,"she's goes to a cafe to kill time, where she bumps into the person that ends up being the love of her life",-0.128,she uses the bank loan to do up her 'classic car' to get it back to its original condition,0.3182,michael went into a spiralling depression about how badly he failed during university,-0.8779,"Sean's mum doesn't pick up the phone because she has been hospitalised, and Sean has to rush to the airport to get the first flight home",0,No,
64,5f5cecca5a310850888708dc,5e7b6d4e6817bd16806d78ae,APPROVED,44:39.5,05:13.2,1233.723,36,09:20.5,3833C7F5,United Kingdom,Male,2,"Sep 12, 2020 11:44:42 am","Sep 12, 2020 12:05:11 pm",Complete,,,,English,,1599925481_5f5cece9e032c0.36546345,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,negative,absent,5e7b6d4e6817bd16806d78ae,0,"There was no reply when Sarah knocked on the door. Her parents had decided to go to the shops, even though they are usually at home on Saturday afternoon.",-0.148,"The blue team had a player sent off due to a refereeing mistake. The red team were able to claw a couple of goals back. The blue team lost confidence and their players were tiring. The red team scored again and, in the last minute, equalised. The match went to extra time, momentum carrying the red to victory over the demoralised blues.",-0.018,"Bill, already feeling fed-up, is told that requesting a new passport will be time consuming and expensive. Then he realises the passport was in his coat pocket the whole time. He can catch his original fight, One silver lining in his disastrous trip.",-0.169633333,John finds the peeler and prepares the potatoes perfectly. Problem solved... except the incident is the final straw for John. He tells his wife that he wants to divorce.,0.078333333,"Rebecca carries on anyway, life's too short to worry. But then a shark rears up from the water. She is doomed... until a freak lightning strike hits and kills the shark.",-0.4083,"At home, there is a knock on the door. The neighbour feels bad about the argument. She invites Sally in to share a bottle of wine over dinner. They make amends and have an enjoyable evening.",0.0045,The original meeting venue was closed due to an electrical fault. The meeting had to be rescheduled for a new venue... the office block which Belinda was mistakenly taken to!,-0.38075,"Lucy changes her mind and decides to keep the car, putting it into the garage for the work needed to keep it roadworthy. 'Wreck' is subjective, she thinks. Some things are worth keeping!",0.098066667,"Michael sees a packet of coffee, a drink he has never enjoyed. He decides to try it... and really enjoys the taste. He feels cheered ahead of the day to come.",0.221533333,Sean turns a corner... and sees his mother sitting outside a cafe! She had an unexpected short break from work and decided to surprise Sean by coming out to see him.,0.1366,No,
65,5f5ced4dc911170ad8cfb109,5e69508d30914f20a575f06d,APPROVED,46:21.5,50:12.9,231.441,18,09:22.4,3833C7F5,Ireland,Male,3,"Sep 12, 2020 11:46:25 am","Sep 12, 2020 11:50:11 am",Complete,,,,English,,1599925585_5f5ced515dd123.97011380,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,absent,5e69508d30914f20a575f06d,0,they wernt in,0,they came back and won,0.5719,he finds his luggage,0,he finds the peeler,0,it started raining,0,she found some,0,she got there early,0,she bought it,0,he found teabags,0,he gets signal,0,No,
66,5f5ced7ac81d3650b69f07be,5f5a5ff6b17ec410b0b437f9,APPROVED,51:45.8,35:32.8,2626.953,44,09:24.5,3833C7F5,United States,,18,"Sep 12, 2020 11:52:00 am","Sep 12, 2020 12:35:24 pm",Complete,,,,English,,1599925919_5f5cee9fe59874.43723846,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,absent,5f5a5ff6b17ec410b0b437f9,0,I think there are no one in the house.,-0.296,Blue team lost in the game.,-0.3182,Bill is unable to return to the country because he lost his passport.,-0.3182,I think they had a quarrel then they didn't have a dinner party.,-0.3089,Rebecca could not swim due to bad weather,-0.5423,It's happen because of lock down.,0,Her taxi took her to the wrong office so she could not join the meeting,-0.6108,I don't think she got a loan from the bank,0,Michael could not find tea bags.,0,Then suddenly there is a network problem so Sean can talk to his mother,-0.4019,No,
67,5f5ced8d674b950b3eb6b28d,5e08b611361a851bde3ce928,APPROVED,48:47.1,21:47.9,1980.839,34,09:26.4,3833C7F5,United Kingdom,Female,6,"Sep 12, 2020 11:48:49 am","Sep 12, 2020 12:21:42 pm",Complete,,,,English,,1599925729_5f5cede15a5252.01531996,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36",,negative,absent,5e08b611361a851bde3ce928,0,They weren't home,0,A key member of the team takes a nasty hit to the shins and falls to the ground. A red card is issued.,-0.2787,"A few months later, Bill is sitting down to watch the weekly lottery results as he usually does, Scruffy is warm and cosy on his lap, and up come the numbers... ",0.2263,"The door bell rings. They look at eachother, it's too early for the guests. John puts down the knife and walks to the door. A police officer stands in front of him.",0,"Determined not to waste her trip Rebecca walks round the headland to a sheltered cove, out of eye shot of the lifeguard. Thinking she must be mad to defy the lifeguard she starts to head back to the beach but finds she cannot. The tide has come right in and Rebecca is marooned. ",0.101066667,"In her frustration she doesn't look carefully when crossing the road. The next moment, she wakes up in hospital.",-0.26885,"Belinda gets back in the taxi and demands to be taken to the correct address. The taxi driver doesn't appear to be listening. He is looking out of the window up at the sky and exclaiming. Curious, Belinda open the taxi door and gets out, she can't  believe what she is seeing.",0.07955,"The car dealer, feeling sorry for Lucy, looks around  and turns to her and quietly whispers that he has this old mate of his who has a couple of cheap but decent cars to sell, and would Lucy be interested.",0.5647,"The phone rings. His mother is calling him from the hospital pay phone. She is ok, but a little shaken still.",0.015933333,"Out of nowhere Sean is thrown to the ground, he mobile and bag both gone. Sean quickly realizes he has been robbed. He heads back to his hotel to use there phone.",0,No,
68,5f5ceddb3e753450378e3a2d,5efa0eb2fce41c0c97d19210,APPROVED,49:11.5,10:29.8,1278.311,32,09:28.3,3833C7F5,United Kingdom,Female,7,"Sep 12, 2020 11:50:00 am","Sep 12, 2020 12:10:21 pm",Complete,,,,English,,1599925800_5f5cee281ac800.89105150,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",,negative,absent,5efa0eb2fce41c0c97d19210,0,Somebody else answered the door,0,The red team scored 5 goals in the second half,0,When he gets home he finds his suitcase waiting for him. At first he thinks it's his but when he opens it he finds it stuffed full of cash so he goes on another even better holiday instead!,0.4134,"John gets in a huff, slams the pealer down and tells her to peal the bloody potatoes herself if she is that fussy. ",-0.4404,Rebecca decides to ignore the life guard and go swimming anyway. As the weather begins to get rougher and lightning begins to light up the sky Rebecca decides to get out. ,-0.1806,The neighbour insults Sally to the point where she returns later that evening (having got hammered on her grandmas brandy) and rearranges his garden gnomes into the Karma Sutra positions she found in a book on her grandmas shelf. ,-0.4215,Belinda decides to make the most of the opportunity presented to her and seduces the receptionist in the stationary cupboard whilst she waits for her meeting to start. ,0.4703,A car parts collector happens to walk by and asks To check the serial number on some bits of her car. Turns out that several parts are worth a fortune and could make Lucy set for life. She decides she doesn't care and drives her crappy car home again. ,-0.144633333,"Michael reminds himself to get a grip. After all, it's only a cup of tea and uni was a shag fest which more than made up for the shitty beverage  quality. ",-0.2787,"The signal makes the call break up. Instead of mum hearing he is safe she hears he's lost weight and congratulates him, making a note to return his birthday cake back to the bakery. ",0.07655,No,
69,5f5cedfd28e7914fe36fefec,5877066b1ed9d10001050b9a,APPROVED,49:19.9,02:58.2,818.335,52,09:30.3,3833C7F5,United Kingdom,Female,4,"Sep 12, 2020 11:49:21 am","Sep 12, 2020 12:02:56 pm",Complete,,,,English,,1599925761_5f5cee01a43194.68592909,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,absent,5877066b1ed9d10001050b9a,0,Her parents weren't in,0,One of the Blue team players get sent off,0,His luggage finally turns up.  ,0,They burn the dinner,0,It turns out to be a sunny day,0.4215,Neighbour makes up with her and offers her a bottle of wine,0,She gets lost and misses her meeting,-0.4939,She decides to restore her old car and not buy a new one,0.296,He went to the shop to buy teabags,0,He finds a place which gives stronger signal and is able to call his mother,0.3818,No,
70,5f5cee3f6352f050221be08d,5df2f7674f849e20d6666704,APPROVED,50:29.6,58:41.1,491.517,67,09:32.4,3833C7F5,United Kingdom,Male,8,"Sep 12, 2020 11:50:31 am","Sep 12, 2020 11:58:38 am",Complete,,,,English,,1599925831_5f5cee47d96f13.15016303,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36",,negative,absent,5df2f7674f849e20d6666704,0,They did not answer the door,0,It starts to rain,0,Someone finds his suitcase,0,His wife storms out of the kitchen,0,A shark appears in front of her,0,The neighbour insulted her,-0.5106,A man falls from an office building,0,She wins the lottery.,0.5719,He starts to cry,-0.4767,The battery died,-0.5574,No,
71,5f5cee552e200e0ae343841f,5e5254e98564972649a270c2,APPROVED,50:50.4,08:13.2,1042.798,33,09:34.2,3833C7F5,United Kingdom,Female,9,"Sep 12, 2020 11:50:52 am","Sep 12, 2020 12:08:11 pm",Complete,,,,English,,1599925852_5f5cee5c0422b7.33304047,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51",,negative,absent,5e5254e98564972649a270c2,0,"Possibilities are endless, someone different/unexpected opened the door. Her parents were not in. The door was open. ",0,They lost the game despite their drive to win and their advantage of four goals before half -time. Or the final was postponed due to bad weather. ,-0.05315,Bill's luggage was lost causing him to have a terrible time. ,-0.6597,"John and his wife get into an argument, due to the peeler being lost. The party is cancelled.",-0.204,"Rebecca is informed by the lifeguard that it is unsafe to swim, due to bad weather. ",-0.5423,She got into a argument with her neighbour and was unable to buy wine. ,-0.3612,Belinda's taxi took her to the wrong office block and she is too early for her meeting. ,-0.7184,She kept her car because of sentimental reason. ,0.3182,He found a tea bag behind a container and had a cup of tea. ,0,"The network signal is weak, leading to Sean being anxious about being able to contact his mother. ",-0.5994,Yes,
72,5f5cee8e47e6d8505762f70f,5e176ae1096a5e065c70a28b,APPROVED,51:44.5,58:52.1,427.587,21,09:36.4,3833C7F5,United Kingdom,Female,10,"Sep 12, 2020 11:51:52 am","Sep 12, 2020 11:58:49 am",Complete,,,,English,,1599925912_5f5cee988b2663.03293242,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15",,negative,absent,5e176ae1096a5e065c70a28b,0,they weren't in,0,they lost,-0.3182,one of the wedding party had the luggage the whole time,0.4019,he found the peeler,0,she decided to swim anyway,0,the neighbour makes her too upset so she doesn't have dinner,-0.3818,the meeting was cancelled,-0.25,she doesn't need to sell it anymore,0,he found the tea bags,0,she turns up ,0,No,
74,5f5ceea94cddcc4fd7cf85d0,5b5f23420085cb0001872849,APPROVED,52:13.4,58:31.1,377.784,25,09:38.4,3833C7F5,United Kingdom,Female,11,"Sep 12, 2020 11:52:14 am","Sep 12, 2020 11:58:27 am",Complete,,,,English,,1599925934_5f5ceeaec570b5.85743875,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,absent,5b5f23420085cb0001872849,0,There was nobody home.,0,The red team ends up winning.,0.5267,His luggage is found.,0,He drops the potatoes.,0,A big wave comes.,0,A car splashes her.,0,A bird poops on her.,0,She wins the lottery.,0.5719,His pot breaks.,0,His phone breaks.,0,No,
75,5f5ceeafe585c35079889d0d,5f262b0122a12035d4175b44,APPROVED,52:19.9,06:34.0,854.04,21,09:40.6,3833C7F5,United States,Female,13,"Sep 12, 2020 11:52:22 am","Sep 12, 2020 12:06:30 pm",Complete,,,,English,,1599925942_5f5ceeb60d3031.77222863,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,absent,5f262b0122a12035d4175b44,0,Her parents aren't there,0,The Red Team won. This is unexpected because the Blue Team were ahead at half-time. ,0.28595,he can't get back home because he doesn't have his passport,0,A guest arrives early,0,Rebecca jumps in the sea anyway,0,The argument turns friendly and the neighbor is invited to the dinner.,0.1779,Belinda meets a person who is also going to the meeting,0,The bank denies her loan so she must keep her old car,-0.4215,he finds tea bags in the way back of the cupboard,0,His phone dies. It's unexpected because the reader probably assumes something good will happen.,0.2202,No,
76,5f5ceedfda1b6250b6346110,5788d88416a091000112be18,APPROVED,53:45.7,16:03.6,1337.892,54,09:42.4,3833C7F5,United Kingdom,Female,17,"Sep 12, 2020 11:53:48 am","Sep 12, 2020 12:16:01 pm",Complete,,,,English,,1599926028_5f5cef0c713891.98085298,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,absent,5788d88416a091000112be18,0,She hears a scream behind the door and the sound of a crash.,-0.6597,"The blue team's goalkeeper punches the centre forward, who he accuses of kissing his girlfriend. The centre forward retaliates and others join in. The red team win by 11 goals to 4.",0.400033333,He gets home and his house has burned down.,0,His wife stops criticising and they decide to order a takeout and pretend they made it.,-0.5719,She decides to stay on the beach but gets bitten by a dog.,0,The neighbour tells her she is pregnant with Sally's husband's baby and they are planning to run away together. With the dog.,0,"She stops for a coffee nearby. Unexpectedly her best friend from school is in the same bar, she didn't even know she was in the US and hadn't seen her for 17 years.",0.32975,She buys a new car anyway. The car dealer gives her next to nothing for her old car and sells it for a fortune as it was previously owned by a famous celebrity.,0,He remembers Peter who used to steal all his food and bully him at university. He finds him on Facebook and sends him a rude message. Unexpectedly Peter apologies for behaviour all those years ago.,-0.403133333,His mother thinks something is wrong because Sean sounds anxious. Three days later Sean is sunbathing on the beach and his mother turns up.,-0.31245,No,
77,5f5ceef16240ec51674619ef,5ea9eb06e3ba571520403fc6,APPROVED,53:24.7,13:04.5,1179.788,30,09:44.5,3833C7F5,United Kingdom,Female,14,"Sep 12, 2020 11:53:27 am","Sep 12, 2020 12:13:03 pm",Complete,,,,English,,1599926007_5f5ceef732e456.36342825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,absent,5ea9eb06e3ba571520403fc6,0,They aren't in. ,0,Bad weather stopped play.,-0.4588,The airline offers compensation.,0,The doorbell rings and the guests have arrived early. ,0,A shark scare.,-0.4939,Her neighbour said sorry and they shared the bottle of wine.,0.2732,The meeting venue gets changed.,0,She keeps both cars.,0,One of his uni friends gave him a call.,0.4767,He has a road accident.,-0.4767,No,
